Tag,Timestamp,TagValue
Drive1_Current,2024-09-18T20:33:37.5175457Z,0.47
VIBICh1Overall0,2024-09-18T20:33:37.5284761Z,0.3
Drive1_Frequency,2024-09-18T20:33:38.020856Z,24.15
Drive1_Speed,2024-09-18T20:33:38.020856Z,24.16
Drive1_Voltage,2024-09-18T20:33:38.020856Z,157.2
Drive2_Current,2024-09-18T20:33:38.020856Z,0.48
Drive2_Frequency,2024-09-18T20:33:38.020856Z,23.39
Drive2_Speed,2024-09-18T20:33:38.020856Z,23.38
Drive2_Voltage,2024-09-18T20:33:38.020856Z,152.6
Flow001,2024-09-18T20:33:38.020856Z,14.73
Flow002,2024-09-18T20:33:38.020856Z,14.3
FluidPMIAvgTHD_Current_IEEE,2024-09-18T20:33:38.020856Z,31.36
FluidPMIAvgTHD_VToVN_IEEE,2024-09-18T20:33:38.020856Z,2.74
FluidPMIAvgTHD_VToV_IEEE,2024-09-18T20:33:38.020856Z,2.74
FluidPMIIAvgCurrent,2024-09-18T20:33:38.020856Z,0.93
FluidPMIVoltagePercentUnbalance,2024-09-18T20:33:38.020856Z,0.38
Heater_Outlet_Temperature,2024-09-18T20:33:38.0269138Z,89.1
Pressure001,2024-09-18T20:33:38.0269138Z,1
Tank_Lvl_Raw,2024-09-18T20:33:38.0269138Z,28.81
VIBICh0FFTBand0,2024-09-18T20:33:38.0309149Z,0
VIBICh0FFTBand1,2024-09-18T20:33:38.0309149Z,0.02
VIBICh0FFTBand2,2024-09-18T20:33:38.0309149Z,0
VIBICh0FFTBand3,2024-09-18T20:33:38.0309149Z,0
VIBICh0FFTBand4,2024-09-18T20:33:38.0309149Z,0
VIBICh0FFTBand5,2024-09-18T20:33:38.0309149Z,0.01
VIBICh0Overall0,2024-09-18T20:33:38.0309149Z,0.42
VIBICh0Overall1,2024-09-18T20:33:38.0309149Z,0.04
VIBICh1FFTBand0,2024-09-18T20:33:38.0309149Z,0
VIBICh1FFTBand1,2024-09-18T20:33:38.0309149Z,0.01
VIBICh1FFTBand2,2024-09-18T20:33:38.0309149Z,0
VIBICh1FFTBand3,2024-09-18T20:33:38.0309149Z,0
VIBICh1FFTBand4,2024-09-18T20:33:38.0309149Z,0
VIBICh1FFTBand5,2024-09-18T20:33:38.0309149Z,0.01
VIBICh1Overall1,2024-09-18T20:33:38.0309149Z,0.03
VIBICh2FFTBand0,2024-09-18T20:33:38.0309149Z,0
VIBICh2FFTBand1,2024-09-18T20:33:38.0309149Z,0.01
VIBICh2Overall1,2024-09-18T20:33:38.034617Z,0.01
Drive1_Current,2024-09-18T20:33:38.5152677Z,0.47
Drive1_Frequency,2024-09-18T20:33:38.5152677Z,24.15
Drive1_Speed,2024-09-18T20:33:38.5152677Z,24.14
Drive2_Speed,2024-09-18T20:33:38.5152677Z,23.4
VIBICh1Overall0,2024-09-18T20:33:38.5249196Z,0.33
Drive2_Current,2024-09-18T20:33:39.0192194Z,0.48
Drive2_Frequency,2024-09-18T20:33:39.0192194Z,23.41
Drive2_Voltage,2024-09-18T20:33:39.0192194Z,152.6
Flow001,2024-09-18T20:33:39.0192194Z,14.95
Flow002,2024-09-18T20:33:39.0192194Z,14.05
FluidPMIAvgTHD_Current_IEEE,2024-09-18T20:33:39.0192194Z,31.46
FluidPMIAvgTHD_VToVN_IEEE,2024-09-18T20:33:39.0192194Z,2.73
FluidPMIAvgTHD_VToV_IEEE,2024-09-18T20:33:39.0192194Z,2.73
FluidPMIIAvgCurrent,2024-09-18T20:33:39.0192194Z,0.93
FluidPMIVoltagePercentUnbalance,2024-09-18T20:33:39.0192194Z,0.37
Pressure001,2024-09-18T20:33:39.0248094Z,0.99
Tank_Lvl_Raw,2024-09-18T20:33:39.0248094Z,28.81
VIBICh0FFTBand0,2024-09-18T20:33:39.0293906Z,0
VIBICh0FFTBand1,2024-09-18T20:33:39.0293906Z,0.02
VIBICh0FFTBand2,2024-09-18T20:33:39.0293906Z,0
VIBICh0FFTBand3,2024-09-18T20:33:39.0293906Z,0.01
VIBICh0FFTBand4,2024-09-18T20:33:39.0293906Z,0
VIBICh0FFTBand5,2024-09-18T20:33:39.0293906Z,0.01
VIBICh0Overall0,2024-09-18T20:33:39.0293906Z,0.4
VIBICh0Overall1,2024-09-18T20:33:39.0293906Z,0.04
VIBICh1FFTBand0,2024-09-18T20:33:39.0293906Z,0
VIBICh1FFTBand1,2024-09-18T20:33:39.0293906Z,0.01
VIBICh1FFTBand2,2024-09-18T20:33:39.0293906Z,0
VIBICh1FFTBand3,2024-09-18T20:33:39.0293906Z,0
VIBICh1FFTBand4,2024-09-18T20:33:39.0293906Z,0
VIBICh1FFTBand5,2024-09-18T20:33:39.0293906Z,0.01
VIBICh1Overall1,2024-09-18T20:33:39.0293906Z,0.02
VIBICh2FFTBand0,2024-09-18T20:33:39.0293906Z,0
VIBICh2FFTBand1,2024-09-18T20:33:39.0293906Z,0.01
VIBICh2Overall1,2024-09-18T20:33:39.0324853Z,0.01
VIBICh2Overall0,2024-09-18T20:33:39.0324853Z,0.23
Drive1_Current,2024-09-18T20:33:39.5154375Z,0.47
VIBICh2Overall0,2024-09-18T20:33:39.5271608Z,0.19
Drive1_Voltage,2024-09-18T20:33:40.0177665Z,157.2
Drive2_Voltage,2024-09-18T20:33:40.0177665Z,152.7
Flow001,2024-09-18T20:33:40.0177665Z,14.99
Flow002,2024-09-18T20:33:40.0177665Z,13.77
FluidPMIAvgTHD_Current_IEEE,2024-09-18T20:33:40.0177665Z,31.7
FluidPMIAvgTHD_VToVN_IEEE,2024-09-18T20:33:40.0177665Z,2.74
FluidPMIAvgTHD_VToV_IEEE,2024-09-18T20:33:40.0177665Z,2.74
FluidPMIIAvgCurrent,2024-09-18T20:33:40.0177665Z,0.93
FluidPMIVoltagePercentUnbalance,2024-09-18T20:33:40.0177665Z,0.37
Pressure001,2024-09-18T20:33:40.0245868Z,1
Tank_Lvl_Raw,2024-09-18T20:33:40.0245868Z,28.81
VIBICh0FFTBand0,2024-09-18T20:33:40.0290542Z,0
VIBICh0FFTBand1,2024-09-18T20:33:40.0290542Z,0.02
VIBICh0FFTBand2,2024-09-18T20:33:40.0290542Z,0
VIBICh0FFTBand3,2024-09-18T20:33:40.0290542Z,0.01
VIBICh0FFTBand4,2024-09-18T20:33:40.0290542Z,0
VIBICh0FFTBand5,2024-09-18T20:33:40.0290542Z,0.01
VIBICh0Overall0,2024-09-18T20:33:40.0290542Z,0.42
VIBICh0Overall1,2024-09-18T20:33:40.0290542Z,0.03
VIBICh1FFTBand0,2024-09-18T20:33:40.0290542Z,0
VIBICh1FFTBand1,2024-09-18T20:33:40.0290542Z,0.01
VIBICh1FFTBand2,2024-09-18T20:33:40.0290542Z,0
VIBICh1FFTBand3,2024-09-18T20:33:40.0290542Z,0
VIBICh1FFTBand4,2024-09-18T20:33:40.0290542Z,0
VIBICh1FFTBand5,2024-09-18T20:33:40.0290542Z,0.01
VIBICh1Overall0,2024-09-18T20:33:40.0290542Z,0.33
VIBICh1Overall1,2024-09-18T20:33:40.0290542Z,0.03
VIBICh2FFTBand0,2024-09-18T20:33:40.0290542Z,0
VIBICh2FFTBand1,2024-09-18T20:33:40.0290542Z,0.01
VIBICh2Overall1,2024-09-18T20:33:40.0320948Z,0.01
Drive1_Current,2024-09-18T20:33:40.5226145Z,0.47
Drive2_Current,2024-09-18T20:33:40.5226145Z,0.48
VIBICh2Overall0,2024-09-18T20:33:40.5351727Z,0.16
Drive1_Frequency,2024-09-18T20:33:41.0148168Z,24.15
Drive1_Speed,2024-09-18T20:33:41.0148168Z,24.15
Drive1_Voltage,2024-09-18T20:33:41.0148168Z,157.2
Drive2_Frequency,2024-09-18T20:33:41.0148168Z,23.4
Flow001,2024-09-18T20:33:41.0148168Z,14.83
Flow002,2024-09-18T20:33:41.0148168Z,14.11
FluidPMIAvgTHD_Current_IEEE,2024-09-18T20:33:41.0148168Z,31.51
FluidPMIAvgTHD_VToVN_IEEE,2024-09-18T20:33:41.0148168Z,2.74
FluidPMIAvgTHD_VToV_IEEE,2024-09-18T20:33:41.0148168Z,2.74
FluidPMIIAvgCurrent,2024-09-18T20:33:41.0148168Z,0.93
FluidPMIVoltagePercentUnbalance,2024-09-18T20:33:41.0148168Z,0.36
Pressure001,2024-09-18T20:33:41.0198006Z,0.99
Tank_Lvl_Raw,2024-09-18T20:33:41.0198006Z,28.81
VIBICh0FFTBand0,2024-09-18T20:33:41.0247984Z,0
VIBICh0FFTBand1,2024-09-18T20:33:41.0247984Z,0.02
VIBICh0FFTBand2,2024-09-18T20:33:41.0247984Z,0
VIBICh0FFTBand3,2024-09-18T20:33:41.0247984Z,0.01
VIBICh0FFTBand4,2024-09-18T20:33:41.0247984Z,0
VIBICh0FFTBand5,2024-09-18T20:33:41.0247984Z,0.01
VIBICh0Overall0,2024-09-18T20:33:41.0247984Z,0.37
VIBICh0Overall1,2024-09-18T20:33:41.0247984Z,0.05
VIBICh1FFTBand0,2024-09-18T20:33:41.0247984Z,0
VIBICh1FFTBand1,2024-09-18T20:33:41.0247984Z,0.01
VIBICh1FFTBand2,2024-09-18T20:33:41.0247984Z,0
VIBICh1FFTBand3,2024-09-18T20:33:41.0247984Z,0
VIBICh1FFTBand4,2024-09-18T20:33:41.0247984Z,0
VIBICh1FFTBand5,2024-09-18T20:33:41.0247984Z,0.01
VIBICh1Overall1,2024-09-18T20:33:41.0247984Z,0.04
VIBICh2FFTBand0,2024-09-18T20:33:41.0247984Z,0
VIBICh2FFTBand1,2024-09-18T20:33:41.0247984Z,0.01
VIBICh2Overall1,2024-09-18T20:33:41.0277976Z,0.02
Drive1_Current,2024-09-18T20:33:41.5224602Z,0.47
Drive2_Current,2024-09-18T20:33:41.5224602Z,0.48
Drive2_Speed,2024-09-18T20:33:41.5224602Z,23.39
Drive2_Voltage,2024-09-18T20:33:41.5224602Z,152.6
Drive1_Frequency,2024-09-18T20:33:42.0177005Z,24.15
Drive1_Speed,2024-09-18T20:33:42.0177005Z,24.14
Drive2_Frequency,2024-09-18T20:33:42.0177005Z,23.39
Flow001,2024-09-18T20:33:42.0177005Z,15.02
Flow002,2024-09-18T20:33:42.0177005Z,14.09
FluidPMIAvgTHD_Current_IEEE,2024-09-18T20:33:42.0177005Z,32.04
FluidPMIAvgTHD_VToVN_IEEE,2024-09-18T20:33:42.0177005Z,2.76
FluidPMIAvgTHD_VToV_IEEE,2024-09-18T20:33:42.0177005Z,2.76
FluidPMIIAvgCurrent,2024-09-18T20:33:42.0177005Z,0.93
FluidPMIVoltagePercentUnbalance,2024-09-18T20:33:42.0177005Z,0.37
Pressure001,2024-09-18T20:33:42.0227011Z,0.99
Tank_Lvl_Raw,2024-09-18T20:33:42.0227011Z,28.81
VIBICh0FFTBand0,2024-09-18T20:33:42.0276977Z,0
VIBICh0FFTBand1,2024-09-18T20:33:42.0276977Z,0.02
VIBICh0FFTBand2,2024-09-18T20:33:42.0276977Z,0
VIBICh0FFTBand3,2024-09-18T20:33:42.0276977Z,0.01
VIBICh0FFTBand4,2024-09-18T20:33:42.0276977Z,0
VIBICh0FFTBand5,2024-09-18T20:33:42.0276977Z,0.01
VIBICh0Overall0,2024-09-18T20:33:42.0276977Z,0.42
VIBICh0Overall1,2024-09-18T20:33:42.0276977Z,0.03
VIBICh1FFTBand0,2024-09-18T20:33:42.0276977Z,0
VIBICh1FFTBand1,2024-09-18T20:33:42.0276977Z,0.01
VIBICh1FFTBand2,2024-09-18T20:33:42.0276977Z,0
VIBICh1FFTBand3,2024-09-18T20:33:42.0276977Z,0
VIBICh1FFTBand4,2024-09-18T20:33:42.0276977Z,0
VIBICh1FFTBand5,2024-09-18T20:33:42.0276977Z,0.01
VIBICh1Overall0,2024-09-18T20:33:42.0276977Z,0.3
VIBICh1Overall1,2024-09-18T20:33:42.0276977Z,0.02
VIBICh2FFTBand0,2024-09-18T20:33:42.0276977Z,0
VIBICh2FFTBand1,2024-09-18T20:33:42.0276977Z,0.01
VIBICh2Overall1,2024-09-18T20:33:42.0297007Z,0.01
VIBICh2Overall0,2024-09-18T20:33:42.0297007Z,0.14
Drive2_Frequency,2024-09-18T20:33:42.5179411Z,23.4
Drive2_Speed,2024-09-18T20:33:42.5179411Z,23.4
VIBICh0Overall0,2024-09-18T20:33:42.5281003Z,0.4
